iter	RMSE
0	1.143670927
1	1.14096037
2	1.132530586
3	1.117137777
4	1.100002489
5	1.09404212
6	1.067570703
7	1.052062381
8	1.025879702
9	1.013070503
10	0.9977466647
11	0.9814317731
12	0.9577874279
13	0.9353668024
14	0.9149965245
15	0.8936807658
16	0.8739785815
17	0.8521485602
18	0.8335985361
19	0.8140753779
20	0.8036911062
21	0.7932954818
22	0.7818491678
23	0.7640406645
24	0.747233916
25	0.7378066852
26	0.7218236013
27	0.7204490935
28	0.7053447057
29	0.6899493678
30	0.675638085
31	0.6596852515
32	0.6452134204
33	0.6322878463
34	0.6169849884
35	0.6049150596
36	0.5930763356
37	0.581026033
38	0.5687343098
39	0.5572770047
40	0.5452909263
41	0.5337588854
42	0.5211976832
43	0.5105672833
44	0.5005368745
45	0.4903566355
46	0.4800857125
47	0.4701157508
48	0.4604395948
49	0.4520024984
50	0.4445697061
51	0.4362642274
52	0.4280951514
53	0.4202771263
54	0.4127083994
55	0.4044852885
56	0.3973328038
57	0.3895822203
58	0.3822770795
59	0.3752345848
60	0.3668447344
61	0.3606648077
62	0.3558457625
63	0.3485016646
64	0.3417248047
65	0.3347470731
66	0.3304398278
67	0.3263348221
68	0.3200480276
69	0.3161863606
70	0.3101463997
71	0.3042974656
72	0.2986346969
73	0.2950865673
74	0.2917034175
75	0.286301314
76	0.2810723866
77	0.2779182829
78	0.2726935257
79	0.2676461814
80	0.2646854888
81	0.2599558614
82	0.2571596629
83	0.252611976
84	0.2482141732
85	0.2455964685
86	0.241145894
87	0.2386623891
88	0.2343792276
89	0.2302448744
90	0.2274384914
91	0.2247724372
92	0.2222388458
93	0.2199747198
94	0.2169937654
95	0.2131147937
96	0.2093701027
97	0.2057570218
98	0.2022714525
99	0.1994856999
100	0.1961617339
101	0.1941373415
102	0.1908346699
103	0.1877062118
104	0.1850763929
105	0.1820708539
106	0.1791532586
107	0.1776759045
108	0.176264234
109	0.1733029192
110	0.170448097
111	0.1677577028
112	0.165080422
113	0.1636559275
114	0.1610884215
115	0.158762901
116	0.1562864353
117	0.1549299015
118	0.1524584208
119	0.1511427821
120	0.1487430957
121	0.1474664448
122	0.1451479633
123	0.1439082825
124	0.1416209268
125	0.1404174757
126	0.1381952255
127	0.1360761241
128	0.1339918451
129	0.1327920954
130	0.1307473377
131	0.1295822667
132	0.1275956097
133	0.1264637947
134	0.1245114462
135	0.1226320416
136	0.1215163053
137	0.1196695773
138	0.1185855502
139	0.1167919614
140	0.1150886651
